Year,age_u19,age_20-24,age_25-29,age_30-34,age_35-39,age_40u,buffer
1991,700,1511,845,521,385,192,
1992,716,1610,855,529,372,172,
1993,659,1678,924,561,372,208,
1994,628,1856,987,545,387,187,
1995,698,1763,943,561,382,185,
1996,766,1871,1107,608,351,190,
1997,822,1986,1235,645,448,204,
1998,898,2137,1489,686,462,218,
1999,927,2301,1519,749,502,227,
2000,884,2243,1631,853,549,231,
2001,944,2404,1685,875,508,257,
2002,914,2258,1604,928,552,263,
2003,836,2090,1597,954,579,264,
2004,798,1963,1663,951,607,235,
2005,694,1759,1451,860,541,280,
2006,652,1505,1370,824,491,200,
2007,544,1387,1282,790,474,209,
2008,511,1296,1232,841,499,221,
2009,484,1234,1164,759,523,258,
2010,459,1181,1137,789,565,271,
2011,443,1109,1051,755,534,257,
2012,347,1082,964,777,549,263,
2013,324,911,884,746,558,256,
2014,273,918,865,799,586,294,
2015,263,832,768,693,603,292,
2016,240,794,769,649,558,255,
